magnitude,depth,cdi,mmi,sig,alert
7.00,14.00,8.00,7.00,0.00,green
6.90,25.00,4.00,4.00,-33.00,green
7.00,579.00,3.00,3.00,-13.00,green
7.30,37.00,5.00,5.00,65.00,green
6.60,624.00,0.00,2.00,-98.00,green
7.00,660.00,4.00,3.00,-13.00,green
6.80,630.00,1.00,3.00,-57.00,green
6.70,20.00,7.00,6.00,29.00,green
6.80,20.00,8.00,7.00,-101.00,yellow
7.60,26.00,9.00,8.00,7.00,yellow
6.90,10.00,9.00,9.00,119.00,yellow
6.50,10.00,7.00,7.00,-12.00,green
7.00,137.00,7.00,5.00,-7.00,green
7.60,116.00,8.00,8.00,-59.00,yellow
6.60,12.00,9.00,8.00,19.00,orange
6.60,30.00,7.00,6.00,-96.00,green
7.00,33.00,9.00,8.00,71.00,yellow
6.50,622.00,3.00,2.00,-115.00,green
7.20,236.00,7.00,5.00,108.00,green
6.90,10.00,2.00,5.00,-35.00,green
6.80,220.00,6.00,5.00,-6.00,green
6.60,27.00,6.00,5.00,-6.00,green
7.00,10.00,6.00,4.00,-5.00,green
6.90,10.00,6.00,4.00,-30.00,green
6.70,24.00,8.00,7.00,38.00,green
7.30,41.00,9.00,8.00,93.00,red
6.70,28.00,9.00,6.00,-60.00,green
6.60,24.00,2.00,7.00,-98.00,green
6.80,535.00,2.00,3.00,-56.00,green
6.50,110.00,8.00,6.00,-78.00,green
6.50,8.00,7.00,4.00,-117.00,green
6.60,33.00,8.00,6.00,17.00,green
6.60,19.00,8.00,5.00,-94.00,green
6.80,20.00,7.00,6.00,-38.00,green
6.60,21.00,6.00,6.00,-48.00,green
6.60,13.00,9.00,8.00,-12.00,orange
7.30,165.00,8.00,7.00,-103.00,green
7.30,14.00,9.00,5.00,86.00,green
7.50,126.00,8.00,8.00,70.00,yellow
6.60,12.00,7.00,4.00,-80.00,green
6.90,51.00,8.00,6.00,-29.00,green
6.90,535.00,4.00,3.00,-28.00,green
7.30,527.00,4.00,4.00,58.00,green
6.50,21.00,7.00,5.00,-84.00,green
7.00,20.00,8.00,8.00,-56.00,red
7.10,6.00,1.00,4.00,8.00,green
6.60,7.00,1.00,3.00,-98.00,green
6.90,93.00,8.00,7.00,-27.00,green
6.90,16.00,6.00,4.00,-34.00,green
7.20,10.00,9.00,8.00,27.00,red
6.90,33.00,5.00,4.00,-30.00,green
6.90,20.00,5.00,4.00,-30.00,green
8.10,22.00,0.00,7.00,-15.00,green
7.50,47.00,9.00,6.00,100.00,green
7.10,55.00,9.00,7.00,78.00,green
8.20,46.00,8.00,6.00,-43.00,green
8.20,35.00,8.00,7.00,-28.00,yellow
6.70,110.00,8.00,5.00,-89.00,green
6.70,10.00,6.00,6.00,62.00,green
6.50,25.00,0.00,4.00,-118.00,green
6.50,10.00,5.00,7.00,-116.00,green
7.30,10.00,9.00,9.00,1.00,orange
6.70,11.00,8.00,4.00,-70.00,green
6.70,10.00,9.00,3.00,-74.00,green
6.90,43.00,7.00,6.00,-105.00,green
6.50,246.00,4.00,4.00,-117.00,green
6.50,301.00,6.00,4.00,-116.00,green
7.00,43.00,7.00,7.00,28.00,yellow
6.60,13.00,5.00,5.00,-96.00,green
6.50,24.00,0.00,4.00,-118.00,green
8.10,28.00,9.00,8.00,-3.00,green
7.40,43.00,3.00,7.00,75.00,green
7.30,10.00,7.00,6.00,-92.00,green
7.10,43.00,9.00,8.00,76.00,orange
7.70,10.00,9.00,4.00,-106.00,green
6.90,15.00,9.00,5.00,-29.00,green
7.00,80.00,7.00,5.00,34.00,green
6.70,10.00,8.00,8.00,8.00,green
6.70,10.00,5.00,5.00,8.00,green
7.00,21.00,8.00,7.00,-9.00,orange
7.60,28.00,9.00,7.00,-115.00,yellow
6.90,10.00,0.00,3.00,-36.00,green
6.50,16.00,6.00,6.00,-94.00,green
6.80,21.00,6.00,7.00,56.00,green
6.50,10.00,4.00,5.00,-117.00,green
6.90,624.00,4.00,3.00,-19.00,green
6.90,26.00,4.00,4.00,-33.00,green
6.80,22.00,5.00,4.00,-52.00,green
6.60,10.00,9.00,8.00,16.00,yellow
7.80,28.00,9.00,7.00,87.00,green
7.00,73.00,6.00,7.00,52.00,green
6.60,533.00,4.00,2.00,-84.00,green
7.40,20.00,8.00,8.00,-42.00,orange
7.40,10.00,7.00,7.00,105.00,green
6.60,165.00,5.00,4.00,-34.00,green
6.80,112.00,6.00,6.00,67.00,green
6.50,2.00,7.00,8.00,40.00,green
6.60,107.00,4.00,6.00,-97.00,green
6.80,96.00,4.00,6.00,-30.00,green
6.50,10.00,7.00,6.00,-90.00,green
6.50,12.00,8.00,8.00,-126.00,green
7.50,57.00,6.00,5.00,111.00,green
7.00,143.00,5.00,6.00,2.00,yellow
7.70,14.00,9.00,6.00,20.00,yellow
6.70,10.00,8.00,9.00,-33.00,orange
6.80,18.00,9.00,7.00,57.00,yellow
7.10,33.00,6.00,6.00,31.00,green
6.50,577.00,0.00,2.00,-118.00,green
6.60,10.00,4.00,4.00,-95.00,green
6.50,10.00,9.00,7.00,-35.00,green
6.60,15.00,9.00,7.00,12.00,yellow
6.70,11.00,7.00,6.00,76.00,green
6.50,12.00,7.00,7.00,-112.00,yellow
6.60,16.00,0.00,4.00,-98.00,green
6.90,49.00,4.00,6.00,107.00,green
6.80,25.00,6.00,6.00,-77.00,green
6.60,181.00,0.00,4.00,-98.00,green
7.20,18.00,7.00,7.00,41.00,green
6.60,10.00,5.00,5.00,23.00,green
6.90,35.00,7.00,5.00,-21.00,green
7.10,8.00,9.00,9.00,110.00,yellow
7.30,212.00,4.00,6.00,-72.00,green
7.30,46.00,8.00,6.00,62.00,green
6.60,57.00,7.00,6.00,118.00,yellow
8.00,122.00,9.00,8.00,98.00,orange
7.60,10.00,7.00,7.00,-95.00,green
7.10,146.00,7.00,6.00,58.00,yellow
6.80,15.00,5.00,6.00,-51.00,green
6.50,38.00,0.00,5.00,-118.00,green
7.00,267.00,7.00,4.00,101.00,green
7.50,145.00,7.00,7.00,121.00,yellow
6.70,66.00,6.00,6.00,-115.00,yellow
6.70,13.00,0.00,3.00,-77.00,green
6.70,63.00,8.00,8.00,64.00,orange
6.60,35.00,5.00,4.00,-97.00,green
6.60,43.00,2.00,4.00,-96.00,green
6.80,570.00,3.00,3.00,-53.00,green
